run_id,persona_id,language_code,locale,status,pli_participant_id,started_at,completed_at,transcript_reference,turn_count,issue_note
R001,R001-EN-001,en,varied,pending,,,,,,
R001,R001-EN-002,en,varied,pending,,,,,,
R001,R001-ZH-001,zh,varied,pending,,,,,,
R001,R001-ZH-002,zh,varied,pending,,,,,,
R001,R001-AR-001,ar,varied,pending,,,,,,
R001,R001-AR-002,ar,varied,pending,,,,,,
R001,R001-ES-001,es,varied,pending,,,,,,
R001,R001-ES-002,es,varied,pending,,,,,,
R001,R001-FR-001,fr,varied,pending,,,,,,
R001,R001-FR-002,fr,varied,pending,,,,,,
R001,R001-PT-001,pt,varied,pending,,,,,,
R001,R001-PT-002,pt,varied,pending,,,,,,
R001,R001-TR-001,tr,varied,pending,,,,,,
R001,R001-TR-002,tr,varied,pending,,,,,,
R001,R001-HI-001,hi,varied,pending,,,,,,
R001,R001-HI-002,hi,varied,pending,,,,,,
R001,R001-BN-001,bn,varied,pending,,,,,,
R001,R001-BN-002,bn,varied,pending,,,,,,
R001,R001-VI-001,vi,varied,pending,,,,,,
R001,R001-VI-002,vi,varied,pending,,,,,,
R001,R001-TA-001,ta,varied,pending,,,,,,
R001,R001-TA-002,ta,varied,pending,,,,,,
R001,R001-SW-001,sw,varied,pending,,,,,,
R001,R001-SW-002,sw,varied,pending,,,,,,
R001,R001-UR-001,ur,varied,pending,,,,,,
R001,R001-UR-002,ur,varied,pending,,,,,,
R001,R001-ID-001,id,varied,pending,,,,,,
R001,R001-ID-002,id,varied,pending,,,,,,
R001,R001-SO-001,so,varied,pending,,,,,,
R001,R001-SO-002,so,varied,pending,,,,,,
R001,R001-MY-001,my,varied,pending,,,,,,
R001,R001-MY-002,my,varied,pending,,,,,,
R001,R001-FA-001,fa,varied,pending,,,,,,
R001,R001-FA-002,fa,varied,pending,,,,,,
R001,R001-PRS-001,prs,varied,pending,,,,,,
R001,R001-PRS-002,prs,varied,pending,,,,,,
